"CdId","smiles","MolWeight","Formula","moleculename","E1","E2","E3","E4","h1","h2","h3","h4","l1","l2","l3","l4","reorg","IP_vert","IP_adia","ringcount","fusedringcount","rotatablebondcount","vdwsa","atomcountS","avgpol","axx","ayy","azz"
"25","c1ccc2c(c1)sc1c3ccccc3sc21","240.34","C14H8S2","BTBT","-1334.7206","-1334.4579","-1334.7164","-1334.4619","-0.2053371","-0.3728221","-0.1972042","-0.3657642","-0.0469139","-0.2099647","-0.0507874","-0.2149066","0.008285815","0.2627637","0.2586826","4","4","0","283","2","25","27","37","13"
"26","c1sc2C=CC=Cc3scc4sc1c2c34","246.36","C12H6S3","B.CR_115_2015_3036_627","-1655.4064","-1655.1628","-1655.3993","-1655.1697","-0.1845849","-0.3601933","-0.1710802","-0.3459448","-0.0921992","-0.2587381","-0.1002069","-0.2657368","0.013901998","0.2434793","0.23665895","4","4","0","192","3","25","30","32","13"
"27","c1csc(c1)-c1ccc(s1)-c1cccs1","248.38","C12H8S3","tttl","-1656.6451","-1656.3987","-1656.6389","-1656.4062","-0.1909977","-0.3532311","-0.1777848","-0.3397145","-0.0607438","-0.217728","-0.0683119","-0.2249972","0.013709459","0.24638239","0.23880349","3","0","2","289","3","26","13","26","39"
"28","c1cc2cccc3c4cccc5cccc(c(c1)c23)c45","252.32","C20H12","perylene","-769.42487","-769.1885","-769.4222","-769.19116","-0.1824553","-0.3384071","-0.1773269","-0.3334746","-0.0701704","-0.2232438","-0.0750691","-0.2285086","0.005320102","0.2363647","0.23369056","5","5","0","340","0","28","34","38","13"
"29","c1cc2c(s1)sc1sc3sccc3c21","252.38","C10H4S4","B.CR_115_2015_3036_761","-1976.199","-1975.9292","-1976.1935","-1975.9347","-0.2101032","-0.3714082","-0.1990979","-0.3734334","-0.0250243","-0.1990865","-0.0276039","-0.2058228","0.011049595","0.26982766","0.2643523","4","4","0","243","4","25","34","27","13"
"30","c1cc2sc3c4sccc4sc3c2s1","252.38","C10H4S4","ttttf","-1976.2085","-1975.9506","-1976.2025","-1975.9565","-0.1994436","-0.3738004","-0.187801","-0.3636159","-0.0494969","-0.2172613","-0.054703","-0.2225074","0.011995223","0.2579104","0.25189844","4","4","0","241","4","25","26","36","13"
"31","c1c(sc2c1sc1ccccc21)-c1ccccc1","266.38","C16H10S2","B.CR_115_2015_3036_206","-1412.1311","-1411.8756","-1412.1259","-1411.8815","-0.2018389","-0.3615475","-0.1915068","-0.3508712","-0.0525488","-0.2072323","-0.0617536","-0.2161286","0.01098091","0.2554722","0.2496447","4","3","1","327","2","29","43","27","17"
"32","c1sc2ccccc2c1-c1csc2ccccc12","266.38","C16H10S2","B.CR_115_2015_3036_655","-1412.1317","-1411.8716","-1412.1263","-1411.8773","-0.2052789","-0.3615787","-0.1937645","-0.3536479","-0.0344545","-0.1902529","-0.0380203","-0.198783","0.0111100385","0.26011604","0.25438884","4","4","1","327","2","28","29","37","20"
"33","c1sc2scc3c4csc5scc(c1c23)c45","276.40","C12H4S4","B.CR_115_2015_3036_459","-2052.4146","-2052.158","-2052.4111","-2052.1614","-0.1997367","-0.358777","-0.1929972","-0.3522975","-0.0440128","-0.2016795","-0.0473996","-0.2056452","0.006740489","0.25645664","0.25311226","5","5","0","260","4","27","32","36","14"
"34","CC=Cc1cc2c3cc(C=CC)sc3sc2s1","276.43","C14H12S3","B.CR_115_2015_3036_651","-1735.2595","-1735.009","-1735.2555","-1735.013","-0.1973852","-0.3419644","-0.1909214","-0.3395323","-0.0385896","-0.1822068","-0.0428814","-0.1866227","0.007896714","0.2505248","0.24662605","3","3","2","328","3","31","47","30","16"
"35","c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc12","278.35","C22H14","B.JACS_130_2008_10470","-846.84845","-846.5949","-846.84503","-846.59827","-0.2021969","-0.347938","-0.1955901","-0.341628","-0.0472471","-0.1928415","-0.053677","-0.1994621","0.006795587","0.25352415","0.25016993","5","5","0","385","0","32","34","49","15"
"36","c1ccc2c(c1)ccc1cc3c(ccc4ccccc34)cc21","278.35","C22H14","B.QM","-846.8488","-846.59973","-846.8457","-846.6028","-0.1980055","-0.3448193","-0.1920372","-0.3391687","-0.0548632","-0.2021496","-0.0594613","-0.2064619","0.006166671","0.24909689","0.24605803","5","5","0","385","0","32","34","48","15"
"37","c1ccc2cc3c(ccc4cc5ccccc5cc34)cc2c1","278.35","C22H14","B.CEJ_12_2006_2073_9","-846.84265","-846.5965","-846.83936","-846.5998","-0.1958876","-0.3363536","-0.1895591","-0.3349474","-0.0567276","-0.2005084","-0.0620484","-0.2063251","0.0065424237","0.24611789","0.24287385","5","5","0","385","0","32","35","48","15"
"38","c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1","278.35","C22H14","B.MRSSP_2003_L6.5.1_3a","-846.822","-846.6035","-846.8204","-846.6053","-0.1693889","-0.3138362","-0.1660212","-0.3111691","-0.0881793","-0.230986","-0.0908367","-0.2344064","0.0034145757","0.21851324","0.21678485","5","5","0","386","0","33","32","52","15"
"39","c1cc2sc(cc2s1)-c1cc2sccc2s1","278.42","C12H6S4","B.CR_115_2015_3036_99","-2053.6272","-2053.3784","-2053.621","-2053.386","-0.1944704","-0.3549224","-0.1813788","-0.3418739","-0.059602","-0.2141942","-0.0665732","-0.2212422","0.01342541","0.24857755","0.24121168","4","4","1","287","4","28","18","25","43"
"40","c1cc2scc(-c3csc4ccsc34)c2s1","278.42","C12H6S4","B.CR_115_2015_3036_126","-2053.6248","-2053.3623","-2053.62","-2053.367","-0.2063098","-0.3667735","-0.1969133","-0.3594877","-0.0397193","-0.2023184","-0.0412941","-0.2064228","0.009408928","0.2624801","0.25781775","4","4","1","287","4","28","28","35","19"
"41","c1csc(c1)-c1cc2sc3ccsc3c2s1","278.42","C12H6S4","B.CR_115_2015_3036_100","-2053.627","-2053.379","-2053.621","-2053.3862","-0.1937738","-0.3551525","-0.180963","-0.3420078","-0.0587631","-0.2137019","-0.0658223","-0.2206842","0.0131893065","0.24814782","0.24082962","4","3","1","286","4","28","28","42","14"
"42","c1cc2cc3cc4cc5ccccc5cc4cc3cc2s1","284.38","C20H12S","B.JACS_128_2006_16002_1","-1167.5857","-1167.3629","-1167.5839","-1167.3646","-0.1729915","-0.3183475","-0.1695026","-0.315677","-0.0817959","-0.2259542","-0.0842278","-0.2292575","0.0035175835","0.22274847","0.22098938","5","5","0","365","1","33","51","32","15"
